"EnsemblGeneID"	"Chr"	"GeneStart"	"GeneEnd"	"Status"	"ExternalID"	"R1L1Kidney"	"R1L2Liver"	"R1L3Kidney"	"R1L4Liver"	"R1L6Liver"	"R1L7Kidney"	"R1L8Liver"	"R2L1Liver"	"R2L2Kidney"	"R2L3Liver"	"R2L4Kidney"	"R2L6Kidney"	"R2L7Liver"	"R2L8Kidney"
"ENSG00000146556"	1	4274	19669	"KNOWN"	"Q7Z3N4_HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"ENSG00000197194"	1	24417	25944	"KNOWN"	"Q6VEP3_HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000197490"	1	42912	44799	"NOVEL"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000205292"	1	52878	53750	"KNOWN"	"Q5VT23_HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000177693"	1	58954	59871	"KNOWN"	"OR4F5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000209338"	1	147647	147749	"NOVEL"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000196573"	1	218155	218517	"NOVEL"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000177799"	1	357522	358460	"KNOWN"	"OR4F29"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000209341"	1	554742	554813	"NOVEL"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000209342"	1	554815	554882	"NOVEL"	""	0	0	0	0	0	2	1	0	4	0	2	3	0	0
"ENSG00000209343"	1	555925	555992	"NOVEL"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000209344"	1	556000	556068	"NOVEL"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000209346"	1	556070	556142	"NOVEL"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000209349"	1	556239	556304	"NOVEL"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000209350"	1	557859	557930	"NOVEL"	""	4	35	7	32	31	3	29	12	6	34	4	7	25	4
"ENSG00000209351"	1	557932	557999	"NOVEL"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000209352"	1	558707	558776	"NOVEL"	""	0	2	0	0	0	1	0	0	1	0	0	0	0	0
"ENSG00000212679"	1	558845	559168	"KNOWN"	"Q9H2H5_HUMAN"	110	177	131	135	141	149	148	50	112	145	39	118	64	48
"ENSG00000212678"	1	559649	560212	"KNOWN"	"Q8NI70_HUMAN"	12685	9246	13204	9312	8746	12403	8496	7410	13031	9070	11002	13268	7922	10655
"ENSG00000185097"	1	610959	611897	"KNOWN"	"OR4F29"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000209353"	1	683476	683578	"NOVEL"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000197049"	1	711269	711775	"NOVEL"	""	0	1	0	0	0	0	0	1	1	0	0	0	0	0
"ENSG00000215918"	1	728395	729000	"NOVEL"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000177757"	1	742614	745077	"KNOWN"	"FA87B_HUMAN"	2	1	0	0	1	2	0	0	1	1	1	3	0	1
"ENSG00000177750"	1	751449	752765	"KNOWN"	"A2ACH2_HUMAN"	1	1	4	2	5	3	1	3	3	1	4	7	4	3
"ENSG00000177741"	1	781761	782491	"KNOWN"	"Q96BN7_HUMAN"	1	4	1	5	3	0	4	2	6	2	1	0	1	0
"ENSG00000209354"	1	798710	798820	"NOVEL"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000198907"	1	845736	846179	"KNOWN"	"Q8N8E4_HUMAN"	6	0	0	1	1	6	0	0	2	0	5	0	1	2
"ENSG00000187634"	1	850393	869824	"KNOWN"	"SAMD11"	49	27	43	34	23	41	35	31	42	25	50	47	31	46
"ENSG00000188976"	1	869459	884494	"KNOWN"	"NOC2L"	73	34	77	56	45	68	55	46	70	42	63	82	42	67
"ENSG00000187961"	1	885830	890958	"KNOWN"	"KLHL17"	15	8	15	13	11	13	12	15	12	20	23	15	16	15
"ENSG00000187583"	1	891740	900339	"KNOWN"	"PLEKHN1"	1	0	1	1	0	3	0	1	0	2	4	3	2	3
"ENSG00000187642"	1	900447	907336	"KNOWN"	"C1orf170"	4	0	5	0	2	12	1	1	9	4	13	9	0	11
"ENSG00000188290"	1	924208	925333	"KNOWN"	"HES4"	9	2	10	3	1	12	2	2	10	1	10	13	6	14
"ENSG00000187608"	1	938742	939782	"KNOWN"	"ISG15"	12	15	11	17	5	7	10	14	16	16	6	13	19	7
"ENSG00000188157"	1	945366	981355	"KNOWN"	"AGRN"	410	50	414	53	44	350	42	74	462	70	527	472	71	496
"ENSG00000131591"	1	1007061	1041341	"KNOWN"	"C1orf159"	10	5	9	9	3	7	6	12	12	11	14	16	10	8
"ENSG00000215916"	1	1007068	1041338	"KNOWN"	"Q6ZVV0_HUMAN"	10	5	9	9	3	8	6	12	13	11	14	17	9	8
"ENSG00000207730"	1	1092347	1092441	"KNOWN"	"hsa-mir-200b"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000207607"	1	1093106	1093195	"KNOWN"	"hsa-mir-200a"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000198976"	1	1094248	1094330	"KNOWN"	"hsa-mir-429"	0	0	0	0	0	0	0	0	1	0	1	1	0	0
"ENSG00000205231"	1	1098299	1104798	"KNOWN"	"Q6ZQQ1_HUMAN"	1	0	1	0	0	0	0	0	1	0	0	1	0	1
"ENSG00000162571"	1	1099146	1123178	"KNOWN"	"TTLL10"	1	0	1	0	0	1	0	0	0	0	0	1	0	1
"ENSG00000186891"	1	1128752	1131952	"KNOWN"	"TNFRSF18"	0	3	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000186827"	1	1136583	1139411	"KNOWN"	"TNFRSF4"	2	0	1	0	1	1	0	1	0	0	1	1	0	1
"ENSG00000078808"	1	1142177	1157274	"KNOWN"	"SDF4"	234	192	212	162	154	180	155	214	268	220	256	242	222	252
"ENSG00000176022"	1	1157492	1160284	"KNOWN"	"B3GALT6"	25	38	21	32	28	28	22	45	39	45	35	30	27	25
"ENSG00000184163"	1	1167696	1171965	"KNOWN"	"FAM132A"	2	2	4	3	3	4	2	4	3	4	4	3	2	3
"ENSG00000160087"	1	1179157	1199097	"KNOWN"	"UBE2J2"	66	58	66	56	64	58	53	62	59	59	64	66	62	56
"ENSG00000162572"	1	1204310	1217267	"KNOWN"	"SCNN1D"	11	4	6	7	7	6	3	9	12	7	12	12	8	6
"ENSG00000131584"	1	1217633	1233132	"KNOWN"	"CENTB5"	78	51	71	38	25	72	48	66	75	54	78	83	58	101
"ENSG00000169972"	1	1233840	1236919	"KNOWN"	"PUSL1"	18	27	23	36	20	23	28	27	28	32	18	13	25	21
"ENSG00000127054"	1	1236828	1249909	"KNOWN"	"CPSF3L"	98	68	108	76	48	77	60	63	108	78	105	105	68	88
"ENSG00000187488"	1	1250006	1254139	"KNOWN"	"Q7L5A4_HUMAN"	7	0	2	2	3	1	0	1	3	1	3	4	2	3
"ENSG00000215792"	1	1250006	1254139	"KNOWN"	"NP_001025056.1"	7	0	2	2	3	1	0	1	3	1	3	4	2	3
"ENSG00000169962"	1	1256589	1260550	"KNOWN"	"TAS1R3"	1	0	0	0	0	0	0	0	0	0	0	1	0	0
"ENSG00000107404"	1	1260521	1274623	"KNOWN"	"DVL1"	7	6	11	3	2	10	2	3	13	3	9	10	4	7
"ENSG00000162576"	1	1277935	1286506	"KNOWN"	"MXRA8"	15	3	7	4	1	8	0	0	16	3	21	10	4	20
"ENSG00000175756"	1	1298973	1300443	"KNOWN"	"AURKAIP1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000116148"	1	1310955	1324560	"KNOWN"	"CCNL2"	5	2	5	1	1	4	3	3	6	2	12	5	3	3
"ENSG00000131586"	1	1327156	1332524	"KNOWN"	"RM20_HUMAN"	2	0	3	0	0	2	0	1	0	0	4	2	0	4
"ENSG00000205116"	1	1351371	1353030	"NOVEL"	""	3	0	0	0	0	3	0	0	1	0	3	0	0	2
"ENSG00000179403"	1	1360772	1366008	"KNOWN"	"VWA1"	9	9	8	10	5	13	9	15	11	13	11	12	20	13
"ENSG00000215915"	1	1374932	1394342	"KNOWN"	"ATAD3C"	0	1	0	0	2	0	1	1	0	0	0	0	0	0
"ENSG00000160072"	1	1397027	1421444	"KNOWN"	"ATAD3B"	4	2	2	5	4	2	2	5	3	4	3	5	5	5
"ENSG00000197785"	1	1437394	1459928	"KNOWN"	"ATAD3A"	14	30	21	24	17	18	17	18	16	29	25	27	24	23
"ENSG00000205090"	1	1460429	1465581	"KNOWN"	"C1orf70"	1	0	0	0	0	0	0	0	4	0	0	1	0	0
"ENSG00000160075"	1	1466917	1500125	"KNOWN"	"SSU72"	112	96	114	94	78	117	72	87	128	102	110	120	80	102
"ENSG00000215791"	1	1488736	1489138	"NOVEL"	""	6	4	3	3	1	2	2	4	3	4	4	2	2	4
"ENSG00000197118"	1	1497046	1505289	"NOVEL"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000197530"	1	1540736	1555853	"KNOWN"	"MIB2"	44	30	43	30	29	34	25	45	61	32	72	48	40	60
"ENSG00000189409"	1	1557421	1559893	"KNOWN"	"MMP23B"	0	0	0	0	0	0	0	1	0	0	1	1	1	0
"ENSG00000215914"	1	1557423	1623109	"KNOWN"	"A2AGN1_HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000189229"	1	1560963	1578798	"KNOWN"	"P21127-10"	16	13	24	22	9	19	10	15	23	14	24	19	9	17
"ENSG00000189339"	1	1582802	1614027	"KNOWN"	"Q2TAY8_HUMAN"	49	23	58	16	25	35	15	21	68	21	53	43	19	48
"ENSG00000008128"	1	1624029	1645637	"KNOWN"	"CDC2L2"	50	56	60	78	53	46	58	48	54	64	46	64	52	58
"ENSG00000215790"	1	1646137	1667291	"KNOWN"	"SLC35E2"	2	0	2	0	0	4	1	0	5	3	4	1	4	5
"ENSG00000008130"	1	1672531	1701368	"KNOWN"	"NADK"	79	173	82	153	161	91	145	169	93	204	63	80	148	84
"ENSG00000078369"	1	1706590	1812355	"KNOWN"	"GNB1"	848	316	838	320	360	836	314	282	852	351	756	884	300	744
"ENSG00000169885"	1	1836126	1838593	"KNOWN"	"CALML6"	0	5	0	1	4	1	4	4	0	8	1	0	2	0
"ENSG00000178821"	1	1838889	1840572	"KNOWN"	"TMEM52"	1	7	2	4	8	2	3	7	2	6	3	5	6	3
"ENSG00000205073"	1	1843260	1849228	"KNOWN"	"NP_001003808.1"	0	6	0	13	3	0	7	11	0	2	0	0	5	0
"ENSG00000185011"	1	1863709	1864239	"KNOWN"	"Q8N1X1_HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000142609"	1	1874612	1925136	"KNOWN"	"KIAA1751"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000187730"	1	1940703	1952050	"KNOWN"	"GABRD"	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000067606"	1	1971769	2106692	"KNOWN"	"PRKCZ"	72	23	68	39	25	66	19	32	74	27	57	85	43	69
"ENSG00000205069"	1	2063064	2063829	"KNOWN"	"Q4G173_HUMAN"	0	0	1	1	0	0	1	0	0	0	1	1	0	0
"ENSG00000182873"	1	2103093	2105174	"KNOWN"	"Q9NW32_HUMAN"	3	2	3	1	5	3	1	2	5	3	4	10	1	4
"ENSG00000162585"	1	2105777	2122397	"KNOWN"	"C1orf86"	49	25	47	31	28	48	18	33	57	31	43	61	43	53
"ENSG00000186423"	1	2111097	2113039	"KNOWN"	"Q8N9S5_HUMAN"	4	2	7	5	2	2	5	3	5	5	5	5	3	7
"ENSG00000215985"	1	2129205	2129272	"NOVEL"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000183472"	1	2134226	2134879	"KNOWN"	"Q9H7Y2_HUMAN"	0	1	0	1	2	0	0	2	0	1	0	1	1	0
"ENSG00000157933"	1	2149994	2229316	"KNOWN"	"SKI"	63	35	59	30	29	65	27	30	72	41	61	66	41	61
"ENSG00000116151"	1	2242556	2346079	"KNOWN"	"MORN1"	13	2	10	1	0	5	6	1	10	3	10	12	1	11
"ENSG00000178642"	1	2306671	2309782	"NOVEL"	""	11	2	7	3	2	7	4	1	4	2	9	12	2	5
"ENSG00000157916"	1	2313074	2326734	"KNOWN"	"RER1"	340	339	315	330	346	339	331	309	401	382	310	367	352	297
"ENSG00000157911"	1	2326103	2333870	"KNOWN"	"PEX10"	100	108	99	102	121	108	125	94	148	128	92	148	119	106
"ENSG00000149527"	1	2397614	2426829	"KNOWN"	"PLCH2"	15	8	8	6	5	15	7	5	12	8	16	19	5	23
"ENSG00000157881"	1	2429835	2447895	"KNOWN"	"PANK4"	43	20	46	20	18	50	21	19	44	20	44	44	29	42
"ENSG00000197921"	1	2450044	2451544	"KNOWN"	"HES5"	0	0	0	0	2	2	0	0	0	1	0	0	3	0
"ENSG00000205049"	1	2478310	2478741	"KNOWN"	"Q6ZP28_HUMAN"	0	1	0	1	1	1	0	0	0	0	1	1	1	0
"ENSG00000157873"	1	2479153	2486613	"KNOWN"	"TNFRSF14"	88	54	105	68	64	83	61	52	105	64	127	131	64	97
"ENSG00000157870"	1	2508097	2512766	"KNOWN"	"C1orf93"	56	25	50	14	13	66	21	14	82	17	71	58	9	56
"ENSG00000142606"	1	2511941	2554289	"KNOWN"	"MMEL1"	11	5	5	4	1	6	4	2	14	1	6	9	2	10
"ENSG00000215913"	1	2562667	2566862	"NOVEL"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"ENSG00000215912"	1	2690014	2694127	"NOVEL"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000177133"	1	2775209	2970210	"KNOWN"	"Q6ZV91_HUMAN"	142	2	160	1	3	140	3	3	176	0	166	180	0	185
